Sonarqube_RuleId,PMD_RuleId,Sonarqube_RuleDescription,PMD_RuleDescription
S1695,AvoidThrowingNullPointerException,"""NullPointerException"" should not be explicitly thrown
 A NullPointerException should indicate that a null value was unexpectedly encountered. Good programming practice dictates that code is structured to avoid NPE's. Explicitly throwing NullPointerException forces a method's callers to explicitly catch it, rather than coding to avoid it. Further, it makes it difficult to distinguish between the unexpectedly-encountered null value and the condition which causes the method to purposely throw an NPE. If an NPE is being thrown to indicate that a parameter to the method should not have been null, use the @NotNull annotation instead.  

public void doSomething (String aString) throws NullPointerException {
     throw new NullPointerException();
}
public void doSomething (@NotNull String aString) {
}","AvoidThrowingNullPointerException
Avoid throwing NullPointerExceptions manually. These are confusing because most people will assume that the virtual machine threw it.  To avoid a method being called with a null parameter, you may consider using an IllegalArgumentException instead, making it clearly seen as a programmer-initiated exception. However, there are better ways to handle this:     Effective Java, 3rd Edition, Item 72: Favor the use of standard exceptions    Arguably, every erroneous method invocation boils down to an illegal argument or state, but other exceptions are standardly used for certain kinds of illegal arguments and states. If a caller passes null in some parameter for which null values are prohibited, convention dictates that NullPointerException be thrown rather than IllegalArgumentException.   To implement that, you are encouraged to use java.util.Objects.requireNonNull() (introduced in Java 1.7). This method is designed primarily for doing parameter validation in methods and constructors with multiple parameters.  Your parameter validation could thus look like the following: public class Foo {     private String exampleValue;      void setExampleValue(String exampleValue) {       // check, throw and assignment in a single standard call       this.exampleValue = Objects.requireNonNull(exampleValue, ""exampleValue must not be null!"");     }   }   
public class Foo {
    void bar() {
        throw new NullPointerException();
    }
}
"
S1219,NonCaseLabelInSwitchStatement,"""switch"" statements should not contain non-case labels
 Even if it is legal, mixing case and non-case labels in the body of a switch statement is very confusing and can even be the result of a typing error.  

switch (day) {
  case MONDAY:
  case TUESDAY:
  WEDNESDAY:   // Noncompliant; syntactically correct, but behavior is not what's expected
    doSomething();
    break;
  ...
}

switch (day) {
  case MONDAY:
    break;
  case TUESDAY:
    foo:for(int i = 0 ; i &lt; X ; i++) {  // Noncompliant; the code is correct and behaves as expected but is barely readable
         /* ... */
        break foo;  // this break statement doesn't relate to the nesting case TUESDAY
         /* ... */
    }
    break;
    /* ... */
}
switch (day) {
  case MONDAY:
  case TUESDAY:
  case WEDNESDAY:
    doSomething();
    break;
  ...
}

switch (day) {
  case MONDAY:
    break;
  case TUESDAY:
    compute(args); // put the content of the labelled ""for"" statement in a dedicated method
    break;

    /* ... */
}","NonCaseLabelInSwitchStatement
A non-case label (e.g. a named break/continue label) was present in a switch statement. This legal, but confusing. It is easy to mix up the case labels and the non-case labels.  
public class Foo {
  void bar(int a) {
   switch (a) {
     case 1:
       // do something
       break;
     mylabel: // this is legal, but confusing!
       break;
     default:
       break;
    }
  }
}
"
S1168,ReturnEmptyArrayRatherThanNull,"Empty arrays and collections should be returned instead of null
 Returning null instead of an actual array or collection forces callers of the method to explicitly test for nullity, making them more complex and less readable. Moreover, in many cases, null is used as a synonym for empty.   See  - For functions that return an array, prefer returning an empty array over a null value - Return an empty array or collection instead of a null value for methods that return an array or collection 

public static List&lt;Result&gt; getResults() {
  return null;                             // Noncompliant
}

public static Result[] getResults() {
  return null;                             // Noncompliant
}

public static void main(String[] args) {
  Result[] results = getResults();

  if (results != null) {                   // Nullity test required to prevent NPE
    for (Result result: results) {
      /* ... */
    }
  }
}

public static List&lt;Result&gt; getResults() {
  return Collections.emptyList();          // Compliant
}

public static Result[] getResults() {
  return new Result[0];
}

public static void main(String[] args) {
  for (Result result: getResults()) {
    /* ... */
  }
}","ReturnEmptyArrayRatherThanNull
For any method that returns an array, it is a better to return an empty array rather than a null reference. This removes the need for null checking all results and avoids inadvertent NullPointerExceptions.  
public class Example {
    // Not a good idea...
    public int[] badBehavior() {
        // ...
        return null;
    }
    // Good behavior
    public String[] bonnePratique() {
        //...
        return new String[0];
    }
}
"
S3012,AvoidArrayLoops,"Arrays should not be copied using loops
 Using a loop to copy an array or a subset of an array is simply wasted code when there are built-in functions to do it for you. Instead, use Arrays.copyOf to copy an entire array into another array, use System.arraycopy to copy only a subset of an array into another array, and use Arrays.asList to feed the constructor of a new list with an array. Note that Arrays.asList simply puts a Collections wrapper around the original array, so further steps are required if a non-fixed-size List is desired.   Exceptions Rule detects only the most idiomatic patterns, it will not consider loops with non-trivial control flow. For example, array elements that are copied conditionally are ignored.

public void makeCopies(String[] source) {

  this.array = new String[source.length];
  this.list = new ArrayList(source.length);

  for (int i = 0; i &lt; source.length; i++) {
    this.array[i] = source[i]; // Noncompliant
  }

  for (String s : source) {
    this.list.add(s); // Noncompliant
  }
}
public void makeCopies(String[] source) {
  this.array = Arrays.copyOf(source, source.length);
  Collections.addAll(this.list, source);
}
public int[] getCopy(int[] source) {
  int[] dest = new int[source.length];
  for (int i = 0; i &lt; source.length; i++) {
    if (source[i] &gt; 10) {
      dest[i] = source[i];  // Compliant
    }
  }
  return dest;
}","AvoidArrayLoops
Instead of manually copying data between two arrays, use the efficient Arrays.copyOf or System.arraycopy method instead.  
public class Test {
    public void bar() {
        int[] a = new int[10];
        int[] b = new int[10];
        for (int i=0;i&lt;10;i++) {
            b[i]=a[i];
        }
        int[] c = new int[10];
        // this will trigger the rule
        for (int i=0;i&lt;10;i++) {
            b[i]=a[c[i]];
        }
    }
}
"
S4201,SimplifyConditional,"Null checks should not be used with ""instanceof""
 There's no need to null test in conjunction with an instanceof test. null is not an instanceof anything, so a null check is redundant.  

if (x != null &amp;&amp; x instanceof MyClass) { ... }  // Noncompliant

if (x == null || ! x instanceof MyClass) { ... } // Noncompliant
if (x instanceof MyClass) { ... }

if (! x instanceof MyClass) { ... }","SimplifyConditional
No need to check for null before an instanceof; the instanceof keyword returns false when given a null argument.  
class Foo {
  void bar(Object x) {
    if (x != null &amp;&amp; x instanceof Bar) {
      // just drop the ""x != null"" check
    }
  }
}
"
S1314,AvoidUsingOctalValues,"Octal values should not be used
 Integer literals starting with a zero are octal rather than decimal values. While using octal values is fully supported, most developers do not have experience with them. They may not recognize octal values as such, mistaking them instead for decimal values.   See  - Do not begin integer constants with 0 when specifying a decimal value - Use visually distinct identifiers 

int myNumber = 010;   // Noncompliant. myNumber will hold 8, not 10 - was this really expected?
int myNumber = 8;","AvoidUsingOctalValues
Integer literals should not start with zero since this denotes that the rest of literal will be interpreted as an octal value.  
int i = 012;    // set i with 10 not 12
int j = 010;    // set j with 8 not 10
k = i * j;      // set k with 80 not 120
"
S3030,TooManyStaticImports,"Classes should not have too many ""static"" imports
 Importing a class statically allows you to use its public static members without qualifying them with the class name. That can be handy, but if you import too many classes statically, your code can become confusing and difficult to maintain.  With the default threshold value: 4

import static java.lang.Math.*;
import static java.util.Collections.*;
import static com.myco.corporate.Constants.*;
import static com.myco.division.Constants.*;
import static com.myco.department.Constants.*;  // Noncompliant","TooManyStaticImports
If you overuse the static import feature, it can make your program unreadable and unmaintainable, polluting its namespace with all the static members you import. Readers of your code (including you, a few months after you wrote it) will not know which class a static member comes from (Sun 1.5 Language Guide).  
import static Lennon;
import static Ringo;
import static George;
import static Paul;
import static Yoko; // Too much !
"
S1172,UnusedFormalParameter,"Unused method parameters should be removed
 Unused parameters are misleading. Whatever the values passed to such parameters, the behavior will be the same.   Exceptions The rule will not raise issues for unused parameters:  that are annotated with @javax.enterprise.event.Observes in overrides and implementation methods in interface default methods in non-private methods that only throw or that have empty bodies in annotated methods, unless the annotation is @SuppressWarning(""unchecked"") or @SuppressWarning(""rawtypes""), in which case the annotation will be ignored in overridable methods (non-final, or not member of a final class, non-static, non-private), if the parameter is documented with a proper javadoc.  See  - Detect and remove code that has no effect or is never executed 

void doSomething(int a, int b) {     // ""b"" is unused
  compute(a);
}
void doSomething(int a) {
  compute(a);
}
@Override
void doSomething(int a, int b) {     // no issue reported on b
  compute(a);
}

public void foo(String s) {
  // designed to be extended but noop in standard case
}

protected void bar(String s) {
  //open-closed principle
}

public void qix(String s) {
  throw new UnsupportedOperationException(""This method should be implemented in subclasses"");
}

/**
 * @param s This string may be use for further computation in overriding classes
 */
protected void foobar(int a, String s) { // no issue, method is overridable and unused parameter has proper javadoc
  compute(a);
}","UnusedFormalParameter
Avoid passing parameters to methods or constructors without actually referencing them in the method body. Removing unused formal parameters from public methods could cause a ripple effect through the code base. Hence, by default, this rule only considers private methods. To include non-private methods, set the checkAll property to true.  
public class Foo {
    private void bar(String howdy) {
        // howdy is not used
    }
}
"
S128,MissingBreakInSwitch,"Switch cases should end with an unconditional ""break"" statement
 When the execution is not explicitly terminated at the end of a switch case, it continues to execute the statements of the following case. While this is sometimes intentional, it often is a mistake which leads to unexpected behavior.   Exceptions This rule is relaxed in the following cases: See  - Omitted Break Statement in Switch - Finish every set of statements associated with a case label with a break statement - Finish every set of statements associated with a case label with a break statement 

switch (myVariable) {
  case 1:
    foo();
    break;
  case 2:  // Both 'doSomething()' and 'doSomethingElse()' will be executed. Is it on purpose ?
    doSomething();
  default:
    doSomethingElse();
    break;
}
switch (myVariable) {
  case 1:
    foo();
    break;
  case 2:
    doSomething();
    break;
  default:
    doSomethingElse();
    break;
}
switch (myVariable) {
  case 0:                                // Empty case used to specify the same behavior for a group of cases.
  case 1:
    doSomething();
    break;
  case 2:                                // Use of return statement
    return;
  case 3:                                // Use of throw statement
    throw new IllegalStateException();
  case 4:                                // Use of continue statement
    continue;
  default:                               // For the last case, use of break statement is optional
    doSomethingElse();
}","MissingBreakInSwitch
Switch statements without break or return statements for each case option may indicate problematic behaviour. Empty cases are ignored as these indicate an intentional fall-through.  
public void bar(int status) {
    switch(status) {
      case CANCELLED:
        doCancelled();
        // break; hm, should this be commented out?
      case NEW:
        doNew();
        // is this really a fall-through?
      case REMOVED:
        doRemoved();
        // what happens if you add another case after this one?
      case OTHER: // empty case - this is interpreted as an intentional fall-through
      case ERROR:
        doErrorHandling();
        break;
    }
}
"
S1942,UnnecessaryFullyQualifiedName,"Simple class names should be used
 Java's import mechanism allows the use of simple class names. Therefore, using a class' fully qualified name in a file that imports the class is redundant and confusing.  

import java.util.List;
import java.sql.Timestamp;

//...

java.util.List&lt;String&gt; myList;  // Noncompliant
java.sql.Timestamp tStamp; // Noncompliant
import java.util.List;
import java.sql.Timestamp;

//...

List&lt;String&gt; myList;
Timestamp tStamp;","UnnecessaryFullyQualifiedName
Import statements allow the use of non-fully qualified names.  The use of a fully qualified name which is covered by an import statement is redundant.  Consider using the non-fully qualified name.  
import java.util.List;
public class Foo {
    private java.util.List list1;   // Unnecessary FQN
    private List list2;             // More appropriate given import of 'java.util.List'
}
"
S2148,UseUnderscoresInNumericLiterals,"Underscores should be used to make large numbers readable
 Beginning with Java 7, it is possible to add underscores ('_') to numeric literals to enhance readability. The addition of underscores in this manner has no semantic meaning, but makes it easier for maintainers to understand the code. The number of digits to the left of a decimal point needed to trigger this rule varies by base.    Base Minimum digits   binary 9   octal 9   decimal 6   hexadecimal 9    It is only the presence of underscores, not their spacing that is scrutinized by this rule. Note that this rule is automatically disabled when the project's sonar.java.source is lower than 7.  

int i = 10000000;  // Noncompliant; is this 10 million or 100 million?
int  j = 0b01101001010011011110010101011110;  // Noncompliant
long l = 0x7fffffffffffffffL;  // Noncompliant
int i = 10_000_000;
int  j = 0b01101001_01001101_11100101_01011110;
long l = 0x7fff_ffff_ffff_ffffL;","UseUnderscoresInNumericLiterals
Since Java 1.7, numeric literals can use underscores to separate digits. This rule enforces that numeric literals above a certain length use these underscores to increase readability.  The rule only supports decimal (base 10) literals for now. The acceptable length under which literals are not required to have underscores is configurable via a property. Even under that length, underscores that are misplaced (not making groups of 3 digits) are reported.  
public class Foo {
    private int num = 1000000; // should be 1_000_000
}
"
S121,ControlStatementBraces,"Control structures should use curly braces
 While not technically incorrect, the omission of curly braces can be misleading, and may lead to the introduction of errors during maintenance.   See  - Use braces for the body of an if, for, or while statement  - Use braces for the body of an if, for, or while statement  

if (condition)  // Noncompliant
  executeSomething();
if (condition) {
  executeSomething();
}","ControlStatementBraces
Enforce a policy for braces on control statements. It is recommended to use braces on ‘if … else’ statements and loop statements, even if they are optional. This usually makes the code clearer, and helps prepare the future when you need to add another statement. That said, this rule lets you control which statements are required to have braces via properties.  From 6.2.0 on, this rule supersedes WhileLoopMustUseBraces, ForLoopMustUseBraces, IfStmtMustUseBraces, and IfElseStmtMustUseBraces.  
while (true)    // not recommended
  x++;
while (true) {  // preferred approach
  x++;
}
"
S1125,SimplifyBooleanExpressions,"Boolean literals should not be redundant
 Redundant Boolean literals should be removed from expressions to improve readability.  

if (booleanMethod() == true) { /* ... */ }
if (booleanMethod() == false) { /* ... */ }
if (booleanMethod() || false) { /* ... */ }
doSomething(!false);
doSomething(booleanMethod() == true);

booleanVariable = booleanMethod() ? true : false;
booleanVariable = booleanMethod() ? true : exp;
booleanVariable = booleanMethod() ? false : exp;
booleanVariable = booleanMethod() ? exp : true;
booleanVariable = booleanMethod() ? exp : false;
if (booleanMethod()) { /* ... */ }
if (!booleanMethod()) { /* ... */ }
if (booleanMethod()) { /* ... */ }
doSomething(true);
doSomething(booleanMethod());

booleanVariable = booleanMethod();
booleanVariable = booleanMethod() || exp;
booleanVariable = !booleanMethod() &amp;&amp; exp;
booleanVariable = !booleanMethod() || exp;
booleanVariable = booleanMethod() &amp;&amp; exp;","SimplifyBooleanExpressions
Avoid unnecessary comparisons in boolean expressions, they serve no purpose and impacts readability.  
public class Bar {
  // can be simplified to
  // bar = isFoo();
  private boolean bar = (isFoo() == true);
  public isFoo() { return false;}
}
"
S1699,ConstructorCallsOverridableMethod,"Constructors should only call non-overridable methods
 Calling an overridable method from a constructor could result in failures or strange behaviors when instantiating a subclass which overrides the method. For example:  The subclass class constructor starts by contract by calling the parent class constructor. The parent class constructor calls the method, which has been overridden in the child class. If the behavior of the child class method depends on fields that are initialized in the child class constructor, unexpected behavior (like a NullPointerException) can result, because the fields aren't initialized yet.   See  - Ensure that constructors do not call overridable methods  - Do not invoke virtual functions from constructors or destructors 

public class Parent {

  public Parent () {
    doSomething();  // Noncompliant
  }

  public void doSomething () {  // not final; can be overridden
    ...
  }
}

public class Child extends Parent {

  private String foo;

  public Child(String foo) {
    super(); // leads to call doSomething() in Parent constructor which triggers a NullPointerException as foo has not yet been initialized
    this.foo = foo;
  }

  public void doSomething () {
    System.out.println(this.foo.length());
  }

}","ConstructorCallsOverridableMethod
Calling overridable methods during construction poses a risk of invoking methods on an incompletely constructed object and can be difficult to debug. It may leave the sub-class unable to construct its superclass or forced to replicate the construction process completely within itself, losing the ability to call super().  If the default constructor contains a call to an overridable method, the subclass may be completely uninstantiable.   Note that this includes method calls throughout the control flow graph - i.e., if a constructor Foo() calls a private method bar() that calls a public method buz(), this denotes a problem.  
public class SeniorClass {
  public SeniorClass(){
      toString(); //may throw NullPointerException if overridden
  }
  public String toString(){
    return ""IAmSeniorClass"";
  }
}
public class JuniorClass extends SeniorClass {
  private String name;
  public JuniorClass(){
    super(); //Automatic call leads to NullPointerException
    name = ""JuniorClass"";
  }
  public String toString(){
    return name.toUpperCase();
  }
}
"
S3776,CyclomaticComplexity,"Cognitive Complexity of methods should not be too high
 Cognitive Complexity is a measure of how hard the control flow of a method is to understand. Methods with high Cognitive Complexity will be difficult to maintain. See   
none","CyclomaticComplexity
The complexity of methods directly affects maintenance costs and readability. Concentrating too much decisional logic in a single method makes its behaviour hard to read and change.  Cyclomatic complexity assesses the complexity of a method by counting the number of decision points in a method, plus one for the method entry. Decision points are places where the control flow jumps to another place in the program. As such, they include all control flow statements, such as if, while, for, and case. For more details on the calculation, see the documentation of the Cyclo metric.  Generally, numbers ranging from 1-4 denote low complexity, 5-7 denote moderate complexity, 8-10 denote high complexity, and 11+ is very high complexity. By default, this rule reports methods with a complexity &gt;= 10. Additionnally, classes with many methods of moderate complexity get reported as well once the total of their methods’ complexities reaches 80, even if none of the methods was directly reported.  Reported methods should be broken down into several smaller methods. Reported classes should probably be broken down into subcomponents.  
class Foo {
  void baseCyclo() {                // Cyclo = 1
    highCyclo();
  }
  void highCyclo() {                // Cyclo = 10: reported!
    int x = 0, y = 2;
    boolean a = false, b = true;
    if (a &amp;&amp; (y == 1 ? b : true)) { // +3
      if (y == x) {                 // +1
        while (true) {              // +1
          if (x++ &lt; 20) {           // +1
            break;                  // +1
          }
        }
      } else if (y == t &amp;&amp; !d) {    // +2
        x = a ? y : x;              // +1
      } else {
        x = 2;
      }
    }
  }
}
"
S2737,AvoidRethrowingException,"""catch"" clauses should do more than rethrow
 A catch clause that only rethrows the caught exception has the same effect as omitting the catch altogether and letting it bubble up automatically, but with more code and the additional detriment of leaving maintainers scratching their heads. Such clauses should either be eliminated or populated with the appropriate logic.   or

public String readFile(File f) {
  StringBuilder sb = new StringBuilder();
  try {
    FileReader fileReader = new FileReader(fileName);
    BufferedReader bufferedReader = new BufferedReader(fileReader);

    while((line = bufferedReader.readLine()) != null) {
      //...
  }
  catch (IOException e) {  // Noncompliant
    throw e;
  }
  return sb.toString();
}
public String readFile(File f) {
  StringBuilder sb = new StringBuilder();
  try {
    FileReader fileReader = new FileReader(fileName);
    BufferedReader bufferedReader = new BufferedReader(fileReader);

    while((line = bufferedReader.readLine()) != null) {
      //...
  }
  catch (IOException e) {
    logger.LogError(e);
    throw e;
  }
  return sb.toString();
}
public String readFile(File f) throws IOException {
  StringBuilder sb = new StringBuilder();
  FileReader fileReader = new FileReader(fileName);
  BufferedReader bufferedReader = new BufferedReader(fileReader);

  while((line = bufferedReader.readLine()) != null) {
    //...

  return sb.toString();
}","AvoidRethrowingException
Catch blocks that merely rethrow a caught exception only add to code size and runtime complexity.  
public void bar() {
    try {
        // do something
    }  catch (SomeException se) {
       throw se;
    }
}
"
