ErrorProne_RuleId,SpotBugs_RuleId,ErrorProne_RuleDescription,SpotBugs_RuleDescription
RandomCast,RV_01_TO_INT,"RandomCast
Casting a random number in the range [0.0, 1.0) to an integer or long always results in 0.  Math.random(), Random#nextFloat, and Random#nextDouble return results inthe range [0.0, 1.0). Therefore, casting the result to (int) or (long)always results in the value of 0. Suppress false positives by adding the suppression annotation @SuppressWarnings(""RandomCast"") to the enclosing element.","RV: Random value from 0 to 1 is coerced to the integer 0
A random value from 0 to 1 is being coerced to the integer value 0. You probably want to multiply the random value by something else before coercing it to an integer, or use the Random.nextInt(n) method."
CollectionIncompatibleType,GC_UNRELATED_TYPES,"CollectionIncompatibleType
Incompatible type as argument to Object-accepting Java collections method.  Querying a collection for an element it cannot possibly contain is almostcertainly a bug. In a generic collection type, query methods such as Map.get(Object) andCollection.remove(Object) accept a parameter that identifies a potentialelement to look for in that collection. This check reports cases where thiselement cannot be present because its type and the collection’s genericelement type are “incompatible.” A typical example: This code looks reasonable, but there’s a problem: The Set contains Longinstances, but the argument to contains is an Integer. Because no instancecan be of type Integer and of type Long at the same time, the containscheck always fails. This is clearly not what the developer intended. Why does the collection API permit this kind of mistake? Why not declare themethod as contains(E)? After all, that is what the collections API does formethods that store an element in the collection: They require that passed typebe strictly assignable to the collection’s element type. For example: The code above rightly won’t compile, because numbers might be a (forexample) Set<Long>, and adding an Integer value would corrupt it. But this restriction is necessary only for methods that insert elements. Methodsthat only query or remove elements cannot corrupt the collection: In this case, the Integer 42 might be contained in numbers, and should beremoved if it is, but if numbers is a Set<Long>, no harm is done. We’d like to define contains in a way that rejects the bad call but permitsthe good one. But Java’s type system is not powerful enough. Our solution isstatic analysis. The specific restriction we would like to express for the two types is notassignability, but “compatibility”. Informally, we mean that it must at least bepossible for some instance to be of both types. Formally, we require that a“casting conversion” exist between the types as defined byJLS 5.5.1. The result is that the method can be defined as contains(Object), permittingthe “good” call above, but that Error Prone will give errors for incompatiblearguments, preventing the “bad.” We might say: Sure, a buggy remove call can’t corrupt a collection. And sure,someone might want to pass an Object reference that happens to contain an E.But isn’t that a low standard for an API? We don’t normally write code that way: Such code would invite bugs. To avoid that, we require a Throwable. Users whohave an Object reference that might be a Throwable can test instanceof andcast. So why not require the same thing in the collections API? Of course, we can’t really change the API of Collection. But if we weredesigning a similar API, what would we do – require E or accept any Object? The burden of proof falls on accepting Object, since doing so permits buggycode. And we’re not going to settle for “it occasionally saves users a cast.” The main reason to accept Object is to permit a fast, type-safe Set.equalsimplementation. (equals is actually just one example of the general problem, which arises withmany uses of wildcards. Once you’ve read the following, consider the problem ofimplementing Collection.removeAll(Collection<?>) without contains(Object).Then consider how the problem would exist even if the signature wereremoveAll(Collection<? extends E>). The removeAll problem is at least“solvable” by changing the signature to removeAll(Collection<E>), but thatsignature may reject useful calls.) Here’s how: equals necessarily accepts a plain Object. It can test whetherthat Object is a Set, but it can’t know the element type it was originallydeclared with. In short, equals has to operate on a Set<?>. If contains were to require an E, equals would be in trouble because itdoesn’t know what E is. In particular, it wouldn’t be able to callotherSet.contains(myElement) for any of its elements. It would have only two options: It could copy the entire other Set into aSet<Object>, or it could perform an unchecked cast. Copying is wasteful, so inpractice, equals would need an unchecked cast. This is probably acceptable,but we might feel strange for defining an API that can be implemented only byperforming unchecked casts. Does a cleaner implementation (and occasional convenience to callers) outweighthe bugs that accepting Object enables? That’s a tough question. The good newsis that this Error Prone check gives you some of the best of both worlds. It is technically possible for a Set<Integer> to contain a String element,but only if an unchecked warning was earlier ignored or improperly suppressed.Such practice should never be treated as acceptable, so it makes no practicaldifference to our arguments above. Suppress false positives by adding the suppression annotation @SuppressWarnings(""CollectionIncompatibleType"") to the enclosing element.","GC: No relationship between generic parameter and method argument
This call to a generic collection method contains an argument with an incompatible class from that of the collection's parameter (i.e., the type of the argument is neither a supertype nor a subtype of the corresponding generic type argument). Therefore, it is unlikely that the collection contains any objects that are equal to the method argument used here. Most likely, the wrong value is being passed to the method."
DeadException,RV_EXCEPTION_NOT_THROWN,"DeadException
Exception created but not thrown.  Alternate names: ThrowableInstanceNeverThrown The exception is created with new, but is not thrown, and the reference islost. Creating an exception without using it is unlikely to be correct, so we assumethat you wanted to throw the exception. Suppress false positives by adding the suppression annotation @SuppressWarnings(""DeadException"") to the enclosing element.","RV: Exception created and dropped rather than thrown
This code creates an exception (or error) object, but doesn't do anything with it. For example, something like"
DefaultCharset,DM_DEFAULT_ENCODING,"DefaultCharset
Implicit use of the platform default charset, which can result in differing behaviour between JVM executions or incorrect behavior if the encoding of the data source doesn't match expectations.  A Charset is a mapping between sequences of16-bit Unicode code units and sequences of bytes. Charsets are usedwhen encoding characters into bytes and decoding bytes into characters. Using APIs that rely on the JVM’s default Charset under the hood is dangerous.The default charset can vary from machine to machine or JVM to JVM. This canlead to unstable character encoding/decoding between runs of your program, evenfor ASCII characters (e.g.: A is 0100 0001 in UTF-8, but is 0000 00000100 0001 in UTF-16). If you need stable encoding/decoding, you must specify an explicit charset. TheStandardCharsets class provides these constants for you. When in doubt, use UTF-8. Suppress false positives by adding the suppression annotation @SuppressWarnings(""DefaultCharset"") to the enclosing element.","Dm: Reliance on default encoding
Found a call to a method which will perform a byte to String (or String to byte) conversion, and will assume that the default platform encoding is suitable. This will cause the application behaviour to vary between platforms. Use an alternative API and specify a charset name or Charset object explicitly."
EqualsUnsafeCast,BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,"EqualsUnsafeCast
The contract of #equals states that it should return false for incompatible types, while this implementation may throw ClassCastException.  Implementations of #equals should return false for different types, notthrow. Suppress false positives by adding the suppression annotation @SuppressWarnings(""EqualsUnsafeCast"") to the enclosing element.","BC: Equals method should not assume anything about the type of its argument
The equals(Object o) method shouldn't make any assumptions about the type of o. It should simply return false if o is not the same type as this."
BadShiftAmount,ICAST_BAD_SHIFT_AMOUNT,"BadShiftAmount
Shift by an amount that is out of range.  For shift operations on int types, only the five lowest-order bits of the shiftamount are used as the shift distance. This means that shift amounts that arenot in the range 0 to 31, inclusive, are silently mapped to values in thatrange. For example, a shift of an int by 32 is equivalent to shifting by 0,i.e., a no-op. See JLS 15.19, “Shift Operators”, for more details. Suppress false positives by adding the suppression annotation @SuppressWarnings(""BadShiftAmount"") to the enclosing element.","BSHIFT: 32 bit int shifted by an amount not in the range -31..31
The code performs shift of a 32 bit int by a constant amount outside the range -31..31. The effect of this is to use the lower 5 bits of the integer value to decide how much to shift by (e.g., shifting by 40 bits is the same as shifting by 8 bits, and shifting by 32 bits is the same as shifting by zero bits). This probably isn't what was expected, and it is at least confusing."
EqualsNaN,FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER,"EqualsNaN
== NaN always returns false; use the isNaN methods instead.  As per JLS 15.21.1, == NaN comparisons always return false, even NaN == NaN.Instead, use the isNaN methods to check for NaN. Suppress false positives by adding the suppression annotation @SuppressWarnings(""EqualsNaN"") to the enclosing element.","FE: Doomed test for equality to NaN
This code checks to see if a floating point value is equal to the special Not A Number value (e.g., if (x == Double.NaN)). However, because of the special semantics of NaN, no value is equal to Nan, including NaN. Thus, x == Double.NaN always evaluates to false.  To check to see if a value contained in x is the special Not A Number value, use Double.isNaN(x) (or Float.isNaN(x) if x is floating point precision)."
MathAbsoluteRandom,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,"MathAbsoluteRandom
Math.abs does not always give a positive result. Please consider other methods for positive random numbers.  Math.absreturns a negative number when called with the largest negative number. Example: When trying to generate positive random numbers by using Math.abs around arandom positive-or-negative integer (or long), there will a rare edge case wherethe returned value will be negative. This is because there is no positive integer with the same magnitude asInteger.MIN_VALUE, which is equal to -Integer.MAX_VALUE - 1. Floating pointnumbers don’t suffer from this problem, as the sign is stored in a separate bit. Instead, one should use random number generation functions that are guaranteedto generate positive numbers: or map negative numbers onto the non-negative range: Suppress false positives by adding the suppression annotation @SuppressWarnings(""MathAbsoluteRandom"") to the enclosing element.","RV: Bad attempt to compute absolute value of signed random integer
This code generates a random signed integer and then computes the absolute value of that random integer.  If the number returned by the random number generator is Integer.MIN_VALUE, then the result will be negative as well (since Math.abs(Integer.MIN_VALUE) == Integer.MIN_VALUE). (Same problem arises for long values as well)."
DoubleCheckedLocking,DC_DOUBLECHECK,"DoubleCheckedLocking
Double-checked locking on non-volatile fields is unsafe.  Using double-checked locking on mutable objects in non-volatile fields is notthread-safe. If the field is not volatile, the compiler may re-order the code in theaccessor. For more information, see: The canonical example of correct double-checked locking for lazyinitialization is: Double-checked locking should only be used in performance critical classes. Forcode that is less performance sensitive, there are simpler, more readableapproaches. Effective Java recommends two alternatives: For lazily initializing instance fields, consider a synchronized accessor. Inmodern JVMs with efficient uncontended synchronization the performancedifference is often negligible. If the field being initialized is static, consider using the lazyinitialization holder class idiom: If the object being initialized with double-checked locking isimmutable,then it is safe for the field to be non-volatile. However, the use of volatileis still encouraged because it is almost free on x86 and makes the code moreobviously correct. Note that immutable has a very specific meaning in this context: [An immutable object] is transitively reachable from a final field, has notchanged since the final field was set, and a reference to the objectcontaining the final field did not escape the constructor. Double-checked locking on non-volatile fields is in general unsafe because thecompiler and JVM can re-order code from the object’s constructor to occurafter the object is written to the field. The final modifier prevents that re-ordering from occurring, and guarantees thatall of the object’s final fields have been written to before a reference to thatobject is published. Suppress false positives by adding the suppression annotation @SuppressWarnings(""DoubleCheckedLocking"") to the enclosing element.","DC: Possible double check of field
This method may contain an instance of double-checked locking. This idiom is not correct according to the semantics of the Java memory model.  For more information, see the web page http://www.cs.umd.edu/~pugh/java/memoryModel/DoubleCheckedLocking.html."
BadInstanceof,BC_VACUOUS_INSTANCEOF,"BadInstanceof
instanceof used in a way that is equivalent to a null check.  Flags instanceof checks where the expression can be determined to be asupertype of the type it is compared to. JLS 15.28specifically calls instanceof out as not being a compile-time constantexpression, so the usage of this pattern can lead to unreachable code that won’tbe flagged by the compiler: In general, an instanceof comparison against a superclass is equivalent to anull check: Suppress false positives by adding the suppression annotation @SuppressWarnings(""BadInstanceof"") to the enclosing element.","BC: instanceof will always return true
This instanceof test will always return true (unless the value being tested is null). Although this is safe, make sure it isn't an indication of some misunderstanding or some other logic error. If you really want to test the value for being null, perhaps it would be clearer to do better to do a null test rather than an instanceof test."
InstanceOfAndCastMatchWrongType,BC_IMPOSSIBLE_CAST,"InstanceOfAndCastMatchWrongType
Casting inside an if block should be plausibly consistent with the instanceof type.  Suppress false positives by adding the suppression annotation @SuppressWarnings(""InstanceOfAndCastMatchWrongType"") to the enclosing element.","BC: Impossible cast
This cast will always throw a ClassCastException. SpotBugs tracks type information from instanceof checks, and also uses more precise information about the types of values returned from methods and loaded from fields. Thus, it may have more precise information that just the declared type of a variable, and can use this to determine that a cast will always throw an exception at runtime."
NonAtomicVolatileUpdate,VO_VOLATILE_INCREMENT,"NonAtomicVolatileUpdate
This update of a volatile variable is non-atomic.  The volatile modifier ensures that updates to a variable are propagatedpredictably to other threads. A read of a volatile variable always returns themost recent write by any thread. However, this does not mean that all updates to a volatile variable are atomic.For example, if you increment or decrement a volatile variable, you are actuallydoing (1) a read of the variable, (2) an increment or decrement of a local copy,and (3) a write back to the variable. Each step is atomic individually, but thewhole sequence is not, and it will cause a race condition if two threads try toincrement or decrement a volatile variable at the same time. The same is truefor compound assignment, e.g. foo += bar. If you intended for this update to be atomic, you should wrap all updateoperations on this variable in a synchronized block. If the variable is aninteger, you could use an AtomicInteger instead of a volatile int. Suppress false positives by adding the suppression annotation @SuppressWarnings(""NonAtomicVolatileUpdate"") to the enclosing element.","VO: An increment to a volatile field isn’t atomic
This code increments a volatile field. Increments of volatile fields aren't atomic. If more than one thread is incrementing the field at the same time, increments could be lost."
